N,Naučni naziv vrste,Srpski naziv vrste,Sinonimi,Porodica,Ilustracije,Ilustracije zenke,Silueta,Staniste,Boje,Boje zenke,Glavni tekst,,Dužina tela (cm),Raspon krila (cm),Masa (g),Ishrana,Gnezdarica/Negnezdarica,,Ugrožena (DA/NE)
32,Ardea purpurea,Crvena čaplja,,čaplje (Ardeidae),crvena_caplja,,Capljolike ptice,vodena stanista,braon; crna; bez; siva; bela; crvena,,"Malobrojna vrsta čaplje prostranih tršćaka u ravnici i dolinama reka. Skrovita i neupadljiva. Hrani se u plitkoj vodi unutar ili iz vegetaciju. Gnezdi se u kolonijama, isključivo u gustim tršćacima. Retko i prezimljuje u Srbiji.",228,78-90,"1,20-1,5 m",525-1200,"ribe, žabe, vodeni insekti, retko manje ptice i sisari",Gnezdarica (manje od hiljadu parova).,Redovna i na seobi.,DA
106,Erithacus rubecula,Crvendać,,muharice (Muscicapidae),crvendac,,Ptice pevacice,sume; sikare i zbunjaci; mesovita stanista; naselja,narandzasta; siva; braon; crvena,,"Jedna od najčešćih i najglasnijih pevačica koju ćete sresti u svim tipovima šuma, kao i parkovima i baštama. Peva gotovo cele godine, a često i noću. Prepoznatljiv je po narandžastocrvenim grudima i krupnim crnim očima. Gnezdo smešta u šupljinama i pukotinama drveća. Iako sitan, crvendać je vrlo teritorijalan i ne trpi uljeze. ",329,14,20-22,14-21,"gliste, zrnevlje, insekti i drugi beskičmenjaci",Gnezdarica (preko 100 hiljada parova).,Prisutna tokom cele godine.,NE
139,Lanius senator,Crvenoglavi svračak,,svračci (Laniidae),crvenoglavi_svracak,,Ptice pevacice,sikare i zbunjaci; travnjaci; mesovita stanista,crna; bela; braon,,"Najređa vrsta svračaka koja se gnezdi u Srbiji. Preferira topla otvorena mozaična staništa sa obradivim površinama, livadama, pojedinačnim drvećem i voćnjacima. Veoma je upečatljiv po crno-belim šarama po telu i kestenjastoj glavi sa izraženom crnom maskom. Selica je i zimuje u tropskoj Africi. ",296,17-19,25-27,21-59,insekti,Gnezdarica (manje od hiljadu parova).,Redovna i na seobi.,NE
249,Tringa totanus,Crvenonogi sprudnik,,šljukarice (Scolopacidae),crvenonogi_sprudnik,,Sljukarice i barske koke,travnjaci; vodena stanista,siva; crna; bela,,"Jarkocrvene noge izdvajaju ih od većine drugih šljukarica, osim crnog sprudnika, koji ima nešto duži kljun. Gnezdi se na tlu, a naseljava plitke vode močvara, slanih jezera i dr. Zimi se seli u Sredozemlje i druge toplije krajeve.",230,28,62,110-130,"insekti, gliste, mekušci, rakovi",Gnezdarica (manje od hiljadu parova).,Redovna i na seobi.,DA
38,Aythya fuligula,Ćubasta patka,,plovke (Anatidae),cubasta_patka_m; cubasta_patka_z,cubasta_patka_z; cubasta_patka_m,Patkolike ptice,vodena stanista,crna; bela,siva; braon; crna; bela,"Prepoznatljiva vrsta po ćubi na temenu glave. Često roni pod vodom u potrazi za hranom. Retka je i sporadična gnezdarica na svega par lokaliteta u Vojvodini i istočnoj Srbiji. Češće i u manjim jatima se viđa tokom zimskog perioda, naročito na većim rekama poput Dunava.",269,40-47,67-73,450-1000,"mekušci, insekti, rastinje",Gnezdarica (manje od 10 parova).,Prisutna tokom cele godine.,DA
177,Parus cristatus,Ćubasta senica,,senice (Paridae),cubasta_senica,,Ptice pevacice,sume,crna; bez; siva; bela,,"Visoka, sivkasta kresta na glavi izdvaja je od većine drugih pevačica Evrope. Glava je sivo-bela sa upečatljivim crnim vratom, tankom crnom ogrlicom i očnom prugom. Naseljava četinarske šume visokih planina, a gnezda iskopava u trulim deblima i u panjevima. Možete je zapaziti na zemlji ili nižim granama u potrazi za hranom. ",326,"10,5-12",17-20,10-13,insekti i semenje,Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
119,Galerida cristata,Ćubasta ševa,,ševe (Alaudidae),cubasta_seva,,Ptice pevacice,travnjaci; njive; mesovita stanista,crna; braon; bela; bez,,"Sreće se na poljima i livadama gde se i gnezdi, ali i duž puteva i pruga. Prepoznatljiva po karakterističnoj ćubi na glavi i belom stomaku. Od slične poljske ševe je razlkujemo po riđim ivicama repa i unutrašnjoj strani krila.  Ima veoma melodičnu i šarenoliku pesmu i koju najčešće izvodi u letu. Tokom zimskih meseci često se sreće i u blizini naseljenih mesta.",363,17-19,29-38,35-50,"zrnevlje, beskičmenjaci",Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
207,Podiceps cristatus,Ćubasti gnjurac,,gnjurci (Podicipedidae),cubasti_gnjurac,,Patkolike ptice,vodena stanista,crna; braon; bela,,"Najčešći i najveći gnjurac u Srbiji, dugog vrata i upečatljivog ukrasnog perja na glavi u periodu gnežđenja. Naseljava sve veće stajaće vode poput bara, jezera i ribnjaka, većinom u Vojvodini. Gnezda gradi od trske i drugog vegetacije, skriveno u rastinju ili plutajuće. Manji broj prezimljava na većim, nezaleđenim vodama.",323,46-51,85-90,590-1500,riba,Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
172,Otus scops,Ćuk,,prave sove (Strigidae),cuk,,Sove,mesovita stanista; naselja,siva; crna; bela,,"Jedna od najmanjih, ali i najčešćih sova kod nas. Jedina je prava selica i zimu provodi u Africi. Naseljava listopadne šume, mozaična poljoprivredna područja sa zabranima i drvoredima od nizija do planina. Redovna je i u parkovima i drugim zelenim površinama u naseljima. Gnezda smešta u dupljama drveća, a rado i u veštačke kutijama za gnežđenje. Prepoznatljiva je po prodornom oglašavanju poput zvižduka, kao i čupercima na glavi poput malih rogova.",451,19-21,47-54,60-135,insekti,Gnezdarica (do 100 hiljada parova).,Redovna i na seobi.,NE
48,Burhinus oedicnemus,Ćurlikovac,,ćurlikovci (Burhinidae),curlikovac,,Sljukarice i barske koke,travnjaci; njive,crna; bez; zuta; bela,,"Ekstremno retka vrsta ptice u Srbiji. Uglavnom je aktivna noću. Sreće se na severu Vojvodine, a naseljava gola staništa poput pustara, slatina i njiva. Kamuflažno je obojen i teško se opaža. Odaju ga krupne oči i žute noge.",223,40-44,77-85,430-500,beskičmenjaci,Gnezdarica (oko 10 parova).,Redovna i na seobi.,DA
234,Sturnus vulgaris,Čvorak,,čvorci (Sturnidae),cvorak,,Vranolike ptice; Ptice pevacice,"travnjaci; njive; mesovita stanista; kamenjari, litice i odseci; naselja",crna; bela; zelena; crvena; plava,,"Po žutom kljunu i tamnoj boji je nalik kosu, ali nešto sitniji i perja koje se presijava. Ogromna jata od desetina hiljada čvoraka se prelivaju na nebu ravnice u jesen i zimu. U letu ih prepoznajemo po trouglastim krilima, ravnih zadnjih ivica. Mlade jedinke i odrasli na zimu su pegavi i crnog kljuna. Oglašavanjem mogu imitirati druge ptice, pa i druge životinje ili veštačke zvukove.",386,21,37-42,75-90,"beskičmenjaci, voće",Gnezdarica (preko 100 hiljada parova).,Prisutna tokom cele godine.,NE
146,Locustella fluviatilis,Cvrčić potočar,,grmuše (Sylviidae),cvrcic_potocar,,Ptice pevacice,vodena stanista,braon; bez; siva,,"Jedna od onih ptica koju ćete prvenstveno čuti i prepoznati po oglašavanju, a koje asocira na zujanje neke mašine. Naseljava mlade listopadne šume sa gustim, visokim podrastom duž ravničarskih reka i ivica bara i močvara. Telo je sivobraon, sa beličastim trbuhom i slabo vidljivim prugama na grudima i vratu. Od srodnih crvčića razlikuje se lako po jasno vidljivim belim vrhovima pera na podrepku. Selica je i zimuje u istočnoj Africi.",435,14-16,19-22,13-19,"insekti, paukovi, krpelji",Gnezdarica (oko hiljadu parova).,Redovna i na seobi.,NE
132,Hirundo daurica,Daurska lasta,,laste (Hirundinidae),daurska_lasta,,Laste i ciope,"mesovita stanista; kamenjari, litice i odseci; naselja",crvena; crna; bela; narandzasta,,"Retka gnezdarica Srbije koja nastanjuje klisure i litice, ali i ljudske građevine kao što su tuneli, mostovi, zgrade, ruševine i drugi objekti. Gnezdo daurske laste je specifično, prepoznatljivo po ulazu koji je izgrađen u vidu malog tunela koji vodi do gnezda. Prepoznatljiva je po dugom crnom račvastom repu, riđem nadrepku, vratu i obrazima. Kao i ostale laste, plen hvata u letu. Selica je i zimu provodi u tropskoj Africi. ",428,14-19,32-34,19-29,insekti  ,Gnezdarica (do 10 hiljada parova).,Redovna i na seobi.,NE
20,Anser anser,Divlja guska,,plovke (Anatidae),divlja_guska,,Patkolike ptice,travnjaci; njive; vodena stanista,siva; bela; braon,,"Krupna masivna guska svetlosivih tonova perja. Sreće se na većim vodenim površinama, gde se i gnezdi. Zimi se grupiše u velika jata koja se hrane na livadama i njivama. Nekada proređena danas je redovna gnezdarica, posebno severa zemlje. Gnežđenje počinje u martu, a roditelji sa guščićima se mogu videti u aprilu i maju. Ugrožava je krivolov tokom zimskih meseci.",364,76-89,"1,5-1,8 m",2900-3700,"trava, korenje, semenje i druga biljna hrana",Gnezdarica (manje od hiljadu parova).,Prisutna tokom cele godine.,NE
77,Columba livia f. domestica,Divlji golub,,golubovi (Columbidae),divlji_golub,,Golubolike ptice,"travnjaci; njive; mesovita stanista; kamenjari, litice i odseci; naselja",siva; crna; bela; braon; zelena; plava,,"Dobro poznat komšija koji danas mahom naseljava ljudska naselja. Pored ""divlje"", sivo-crne forme, može biti najrazličitijih boja - od braon, preko bele do plave. Gnezdi se u pukotinama objekata, na tavanima i mestima sličnim nekadašnjim prirodnim staništima - pukotinama stena i pećinama. Ima nekoliko pologa godišnje. Jata van sezone gnežđenja ponekad broje hiljade jedinki. Hranjenje golubova predstavlja nezaobilaznu atrakciju na mnogim gradskim trgovima širom Evrope. ",472,31-34,63-70,230-370,semenje,Gnezdarica (preko 100 hiljada parova).,Prisutna tokom cele godine.,NE
254,Turdus pilaris,Drozd borovnjak,,drozdovi (Turdidae),drozd_borovnjak,,Ptice pevacice,sume; sikare i zbunjaci; mesovita stanista; naselja,crna; narandzasta; bez; siva; braon; bela,,"Šareniji od većine naših drozdova, jedinstvene kombinacije boja. Redovan je i čest gost tokom zime, kada se javlja u velikim jatima, posebno u nizijama. Nekoliko desetina parova se gnezdi u Srbiji, u četinarskim šumama i zasadima.",230,21,33-35,50-75,bobice i crvi,Gnezdarica (manje od 100 parova).,Prisutna tokom cele godine.,NE
256,Turdus viscivorus,Drozd imelaš,,drozdovi (Turdidae),drozd_imelas,,Ptice pevacice,sume; sikare i zbunjaci; mesovita stanista,braon; crna; bez; siva; bela,,"Nešto krupniji i vitkiji od drozda pevača, od kog ga razlikujemo po obliku pega na stomaku i pesmi. Naseljava različitie tipove šuma i druga staništa sa drvećem, na kojima i se gnezdi. Viđa se često na vrhovima stabala ili na tlu, u brdskim i planinskim područjima, a van perioda gnežđenja i drugde po Srbiji. ",310,27,42-48,100-150,"crvi, puževi, insekti i bobice",Gnezdarica (do 100 hiljada parova).,"Redovna na seobi, zimuje u malom broju.",NE
253,Turdus philomelos,Drozd pevač,,drozdovi (Turdidae),drozd_pevac,,Ptice pevacice,sume; sikare i zbunjaci; mesovita stanista,braon; crna; bez; siva; bela,,"Oglašavanjem prepoznatljiv po kratkoj melodiji, koju nakon par ponavljanja obično zamenjuje drugom. Po izgledu ga odaju crne, ravnomerno raspoređene trouglaste pege na svetlom stomaku. Od najsličnijeg drozda imelaša je nešto zdepastiji i drugačijeg oblika pega, ali je pesma pouzdaniji karakter.",295,23,33-36,65-100,"crvi, puževi, voće",Gnezdarica (preko 100 hiljada parova).,"Redovna na seobi, zimuje u malom broju.",NE
60,Certhia brachydactyla,Dugokljuni puzić,,puzići (Certhiidae),dugokljuni_puzic,,Ptice pevacice,sume; sikare i zbunjaci,braon; crna; bez; siva; bela,,"Ptica specifičnog puzećeg kretanja po drveću. Kamuflažne je obojenosti pa se i nešto ređe viđa. Naseljava šumska staništa u ravnici i pobrđu. Za razliku od kratkokljunog puzića izbegava hladne visokoplaninske mešovite i četinarske šume. Rana je gnezdarica i sa ljubavnim zovom počinje već krajem februara. Gnezdo gradi pod korom drveta, najčešće hrasta, vrbe, lipe i topole.",374,12,17-20,8-11,"insekti, paukovi",Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
8,Aegithalos caudatus,Dugorepa senica,,dugorepe senice (Aegithalidae),dugorepa_senica,,Ptice pevacice,sume; sikare i zbunjaci; mesovita stanista; naselja,crna; braon; bela; bez,,"Nežna senica mozaičnih i šumskih predela Srbije. Zdepastim telom i veoma dugim repom silueta ove ptičice podseća na džezvu. Gnežđenje počinje rano, ponekad već krajem februara. Gnezdo predstavlja kamuflažnu lopticu od perja, lišajeva, mahovina i ljuštura insekata smeštenu u rašlji drveta. Najčešće ih viđamo u manjim, prilično bučnim jatima tokom jeseni i zime.",362,14,16-19,7-10,"insekti, semenje",Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
233,Strix uralensis,Dugorepa sova,,prave sove (Strigidae),dugorepa_sova,,Sove,sume,crna; siva; bez,,"Krupnija srodnica šumske sove, stanovnica očuvanih bukovih i bukovo-jelovih šuma u planinskim predelima. Prepoznajemo je po svetlom oblom licu, žutom kljunu i tamnim sitnim očima. Retka i lokalno rasprostranjena, a najbrojnija na području planine Tare.",252,50-62,124-134,500-1300,sitniji sisari i ptice i dr.,Gnezdarica (manje od 100 parova).,Prisutna tokom cele godine.,NE
75,Circus pygargus,Eja livadarka,,orlovi i jastrebovi (Accipitridae),eja_livadarka_ml; eja_livadarka_zs,eja_livadarka_zs; eja_livadarka_ml,Dnevne grabljivice,travnjaci; njive; mesovita stanista,crna; siva; bela,crna; braon; bez; bela,"Uskokrila grabljivica otvorenih predela. Mužjak je svetlije obojen od ženke. Sreće se od aprila do oktobra. Naseljava pre svega livade i pašnjake, ređe i parloge i kultivisana područja. Atipično za grabljivice gnezdi se na tlu. Sa manje od 30 parova predstavlja ekstremno retku gnezdaricu Srbije.",296,43-47,100-120,225-450,"manje ptice i sisari, gušteri, insekti",Gnezdarica (manje od 100 parova).,Redovna i na seobi.,DA
73,Circus aeruginosus,Eja močvarica,,orlovi i jastrebovi (Accipitridae),eja_mocvarica_mf; eja_mocvarica_zs,eja_mocvarica_zs; eja_mocvarica_mf,Dnevne grabljivice,travnjaci; njive; vodena stanista,braon; crna; bez; siva,braon; crna; bez,"Dugokrila dnevna grabljivica barskih staništa bogatih trskom. Viđa se od marta do oktobra, a pojedinačni primerci i prezimljuju. Naseljava isključivo ravničarske predele. Gnezdo smešta u gustoj trsci najčešće u blizini vode. Hrani se raznovrsno. Mužjak se po obojenosti jasno razlikuje od ženke. Kao i druge vrste eja, u letu obično drže donekle izdignuta krila u odnosu na telo.",379,48-56,115-130,400-800,manje ptice i sisari,Gnezdarica (manje od hiljadu parova).,"Redovna i na seobi, mali broj i prezimljava.",NE
191,Phasianus colchicus,Fazan,,fazani (Phasianidae),fazan_ml; fazan_zs,fazan_zs; fazan_ml,Kokosi i droplje,travnjaci; njive; mesovita stanista; naselja,crna; crvena; braon; bela; plava; zelena,braon; bez,"Upečatljiva i brojna ptica iz porodice kokoši, unešena u Evropu kao lovna divljač još u srednjem veku. Mužjaci su znatno upadljiviji od ženki i prepoznatljivi po dugom riđem repu sa crnim prugama, tamnozelenoj glavi sa jarkocrvenim obrazima i beloj ogrlici oko vrata. Naseljava mozaične poljoprivredne predele sa oranicama, prirodnim travnim površinama i živicom.  ",365,53-89,70-90,750-1700,"semenje, žito, insekti",Gnezdarica (preko 100 hiljada parova).,Prisutna tokom cele godine.,NE
83,Corvus frugilegus,Gačac,,vrane (Corvidae),gacac,,Vranolike ptice,travnjaci; njive; mesovita stanista; naselja,crna,,"Zbog buke koju proizvodi svojim pomalo neprijatnim oglašavanjem, nije među omiljenim vrstama iz porodice vrana. Za razliku od gavrana, odrasli gačac je manji i ima svetao, siv kljun. Naseljava ravničarske predele naše zemlje. Gnezdi se u manjim ili većim kolonijamana visokom drveću, često i unutar naselja. Parovi ostaju zajedno do kraja života. Hrani se u manjim jatima na poljima, pašnjacima i livadama.",406,44-46,81-99,280-340,svaštojed,Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
168,Nycticorax nycticorax,Gak,,čaplje (Ardeidae),gak,,Capljolike ptice,vodena stanista,crna; siva; bela,,"Jedan od najmanjih predstavnika iz porodice čaplji u Srbiji. Gnezdi se kolonijalno u širokim pojasevima trske i plavnim šumama koje okružuju velike bare i ravničarske reke, ali i ribnjake i kanale. Odrasle ptice su zagasitosive, a prepoznatljive po crnoj kapi na glavi, crnom kljunu i crnim leđima. Selica je i zimu provodi u Africi, a poslednjih nekoliko godina mali broj jedinki i prezimljava u Srbiji.",404,58-65,90-100,280-1100,"riba, pijavice, gliste, insekto",Gnezdarica (do 10 hiljada parova).,"Redovna na seobi, sporadično i zimuje.",NE
81,Corvus corax,Gavran,,vrane (Corvidae),gavran_1; gavran_2,,Vranolike ptice,"sume; travnjaci; njive; mesovita stanista; kamenjari, litice i odseci",crna,,"Naša najveća vrsta ptice iz porodice vrana. Kao svaštojed, nastanjuje sve tipove staništa i nadmorske visine. Za razliku od drugih crnih srodnika (gačci, čavke) retko se sreće u naseljima. Lako je prepoznatljiv po krupnoći, klinastom repu i čestom graktanju, posebno u letu. Sa gnežđenjem počinje tokom februara, na drvetu, liticama i stubovima dalekovoda. Parovi su stanarice, dok se mlade ptice udružuju u jata u potrazi za hranom. Brojniji je u brdsko-planinskim nego u ravničarskim predelima.",496,60-68,120-150,800-1500,"strvina, sisari, ptice i jaja, insekti i drugi beskičmenjaci",Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
16,Anas platyrhynchos,Gluvara,,plovke (Anatidae),gluvara_m; gluvara_z,gluvara_z; gluvara_m,Patkolike ptice,naselja; vodena stanista,plava; crna; zelena; braon; siva,bez; bela; braon; plava,"Najpoznatija i najčešća vrsta plovke u Srbiji. Za razliku od srodnika, ima plavo ""ogledalo"" na krilu, dok su mužjaci prepoznatljivi po zelenoj glavi. Sreće se na svim tipovima vodenih staništa tokom čitave godine. Tokom perioda gnežđenja viđaju se pojedinačno ili u manjim grupama, dok se na seobi i zimovanju skupljaju u jata. Iako se primarno gnezde u gustom rastinju u blizini vode, za polaganje jaja sve češće biraju i balkone, žardinjere, krovove zgrada, parkovske i veštačke površine. Lovna je vrsta.",506,51-62,81-98,750-1500,"semenje, bobice, rastinje, insekti, rakovi",Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
78,Columba oenas,Golub dupljaš,,golubovi (Columbidae),golub_dupljas,,Golubolike ptice,sume; mesovita stanista,crna; siva,,"Malo poznata i retka vrsta goluba. Usled skrovitog načina života tokom perioda razmnožavanja retko se viđa. Nastanjuje šumska područja sa starim drvećem. Gnezdi se u duplji u drvetu, a sa obeležavanjem teritorije kreće već krajem februara. Zimi se sakuplja u jata koja nekad broje i više stotina jedinki. Lako se razlikuje od drugih vrsta golubova po oglašavanju.",363,30-33,60-66,290-330,semenje,Gnezdarica (manje od hiljadu parova).,Prisutna tokom cele godine.,DA
79,Columba palumbus,Golub grivnaš,,golubovi (Columbidae),golub_grivnas,,Golubolike ptice,sume; sikare i zbunjaci; njive; mesovita stanista; naselja,crna; siva; bela; plava; crvena,,"Krupan golub žutih očiju i sa karakterističnim belim šarama na vratu, krilima i repu. Brojnost mu širom kontinenta naglo raste. Takođe, tokom poslednje dve decenije osvaja i ljudska naselja. Ima nekoliko pologa godišnje, a gnezda pravi na drvetu, od grančića. Iako je selica, deo populacije sve češće i brojnije prezimljava kod nas, pa se mogu spaziti jata od skoro 1000 primeraka. Oglašava se poput promukle gugutke.",417,40-42,75-80,480-550,"listovi, izdanci, semenje i bobice",Gnezdarica (oko 100 hiljada parova).,Prisutna tokom cele godine.,NE
213,Hirundo rupestris,Gorska lasta,,laste (Hirundinidae),gorska_lasta_l; gorska_lasta_s,,Laste i ciope,"kamenjari, litice i odseci",braon; bela; siva; crna,,"Retka lasta litica i strmih stena u brdsko-planinskim krajevima. Gnezdi se u potkapinama i rupama, a retko na građevinama. Nema račvast rep, za razliku od većine drugih ptica iz porodice lasta. Od najsličnije, bregunice, razlikujemo je po svetlom vratu, grudima i flekama na repu.",280,14-15,32-34,17-33,insekti,Gnezdarica (oko hiljadu parova).,Redovna i na seobi.,NE
90,Delichon urbicum,Gradska lasta,,laste (Hirundinidae),gradska_lasta,,Laste i ciope,naselja,crna; bela,,"Kratkokrila, crno-bela lastavica urbanih sredina. Posebno brojna u gradovima i na visokim betonskim objektima poput tornjeva i mostova, gde gradi svoja lako prepoznatljiva gnezda od blata sa jednim otvorom. Manje brojna na području Zapadne Srbije. Zimuje u Africi, a kod nas boravi od aprila do septembra.",305,12,26-29,15-23,insekti,Gnezdarica (preko 100 hiljada parova).,Redovna i na seobi.,NE
231,Streptopelia turtur,Grlica,,golubovi (Columbidae),grlica,,Golubolike ptice,sikare i zbunjaci; njive; mesovita stanista,crna; braon; siva; bela; bez,,"Za raztliku od gugutke, grlica je selica šarenih krila i promuklog oglašavanja, poput predenja. Izbegava naselja i stanovnik je šarenolikih predela sa žbunjem i drvećem. Gnezda gradi na žbunju i drveću. Ugrožena je lovom i savremenom poljoprivredom. ",250,26-28,47-53,130-180,semenje,Gnezdarica (do 100 hiljada parova).,Redovna i na seobi.,DA
237,Sylvia curruca,Grmuša čavrljanka,,grmuše (Sylviidae),grmusa_cavrljanka,,Ptice pevacice,sikare i zbunjaci; mesovita stanista,bez; siva; braon; bela,,"Stanovnik žbunjaka, šibljaka i drugih zaraslih staništa, od ravnica do visokih planina. Kao i druge grmuše, retko se uočava. Oglašavanje je jednoobrazno i donekle slično crnogrloj strnadici. Zimuje u Africi i južnim delovima Azije.",231,13,18,12,"insekti, bobice",Gnezdarica (do 100 hiljada parova).,Redovna i na seobi.,NE
17,Spatula querquedula,Grogotovac,,plovke (Anatidae),grogotovac_m; grogotovac_z,grogotovac_z; grogotovac_m,Patkolike ptice,vodena stanista,bez; crna; braon; siva; bela,,"Uz krdžu, naša najmanja plovka. Mužjaci se odlikuju debelom obrvom bele boje, dok su ženke su mahom jednobojne. Zimu prodove u Africi, a u naše krajeve se vraćaju tokom marta najavljujući skori dolazak proleća. Srećemo je na svim tipovima vodenih staništa, a nešto su češće na plićim stajaćim vodama.",300,37-41,60-63,250-450,"rastinje, vodeni beskičmenjaci",Gnezdarica (manje od hiljadu parova).,Redovna i na seobi.,DA
230,Streptopelia decaocto,Gugutka,,golubovi (Columbidae),gugutka,,Golubolike ptice,njive; mesovita stanista; naselja,siva; crna; bela; bez,,"Nalik golubu, ali mahom siva, sa crnom ogrlicom. Obično ih viđamo pojedinačno ili u paru, u naseljima, gde se oglašava tipičnim gugutanjem. Stanarica je, za razliku od grlice, sa kojom je često mešaju imenom. Grade jednostavna gnezda na drveću.",244,32,51 ,200,"semenje, pupoljci, izdanci",Gnezdarica (preko 100 hiljada parova).,Prisutna tokom cele godine.,NE
44,Branta ruficollis,Guska crvenovoljka,,plovke (Anatidae),guska_crvenovoljka,,Patkolike ptice,travnjaci; njive; vodena stanista,crna; braon; bela,,"Omanja vrsta guske prelepog izgleda. Ime je dobila po crvenkasto-kestenjastoj boji perja na guši (voljki). Gnezdarica je sibirske tundre, a većina populacije zimski period provodi na obalama Crnog i Azovskog mora. Retka je i malobrojna zimovalica Srbije, a najčešće se viđa na području Slanog Kopova i Labudovog okna u jatima sa drugim vrstama gusaka. Vrlo je plašljiva i ne toleriše blizinu čoveka.",399,53-56,116-135,1000-1600,trave i vodeno rastinje,Ne gnezdi se u Srbiji.,"Retka, na zimovanju.",DA
21,Anser fabalis,Guska glogovnjača,,plovke (Anatidae),guska_glogovnjaca,,Patkolike ptice,travnjaci; njive; vodena stanista,siva; bela; braon,,Izuzetno redak zimski gost sa severa Evrope. Viđa se sporadično u jatima drugih gusaka. Od srodnih vrsta razlikuje se po tamnijim leđima i crno-narandžastom kljunu. Može se posmatrati na svim tipovima vodenih staništa i u njihovoj okolini.,239,66-88,"1,5 -1,75 m",2200-4000,"trava, korenje, semenje i druga biljna hrana",Ne gnezdi se u Srbiji.,"Retka, na zimovanju.",DA
187,Perdix perdix,Jarebica,,fazani (Phasianidae),jarebica,,Kokosi i droplje,travnjaci; njive; mesovita stanista,narandzasta; siva; braon,,"Naseljava poljoprivredne predele sa oranicama, živicama i prirodnim travnatim površinama. Gnezdi se na zemlji. Prepoznatljiva je po riđem licu, kratkom riđem repu i braon šari na stomaku. Sreće se u blisko povezanim jatima. Nekada široko rasprostranjena i brojna u celoj Srbiji, a sada dosta retka i u mnogim delovima zemlje potpuno odsustvuje. Odlikuje se karakterističnim letom brzog zamaha krilima, praćenih kratkim jedrenjem. ",430,28-32,46,390,"lišće, semenje, insekti",Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,DA
1,Accipiter gentilis,Jastreb,Jastreb kokošar,orlovi i jastrebovi (Accipitridae),jastreb,,Dnevne grabljivice,sume; sikare i zbunjaci; mesovita stanista; naselja,siva; bela,,"Proređena grabljivica mozaičnih i šumskih staništa. Istaknuta bela obrva, široka zatupasta krila i dug rep čine glavne karaktere za raspoznavanje. Mužjak je znatno sitniji od ženke. Tokom ranog proleća gradi masivno gnezdo u glavnim rašljama visoko u krošnji. U Srbiji je ugrožena proganjanjem, ubijanjem i hvatanjem od strane čoveka, virusnim obolenjima i uništavanjem staništa.",379,48-62,"1,35-1,65 m",600-2000,ptice i sisari,Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
175,Parus ater,Jelova senica,,senice (Paridae),jelova_senica,,Ptice pevacice,sume,crna; bez; siva; bela,,"Jedna od najbrojnijih senica u četinarskim i mešovitim šumama brdsko-planinskih i visokoplaninskih područja Srbije. Tokom zimskih meseci može se sresti i niže, u zasadima četinara. Gnezda smešta u dupljama drveća. Prepoznatljiva po crnom vratu i beloj, uzdužnoj pruzi na temenu. Ima tiho, melodično oglašavanje i često peva sa vrhova četinara.",343,"10-11,5",17-21,8-10,"insekti, semenke",Gnezdarica (preko 100 hiljada parova).,Prisutna tokom cele godine.,NE
11,Alectoris graeca,Kamenjarka,,fazani (Phasianidae),kamenjarka,,Kokosi i droplje,"kamenjari, litice i odseci",crna; narandzasta; braon; bela,,Retka koka kamenitih staništa sa oskudnom vegetacijom uglavnom iznad 600 m n.v. Prepoznatljiva po jarkocrvenom kljunu i nogama i sivom telu. Bokovi su bogato isprugani. Gnezdi se na tlu ispod žbuna. Stanarica je. U jesen se okuplja u jata u kojima ostaje do proleća i topljenja snega. Ugrožena zarastanjem kamenitih staništa i krivolovom.,338,32-35,46-53,500-850,"semenje, voće, rastinje ali i neki beskičmenjaci",Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,DA
202,Platalea leucorodia,Kašičar,,ražnjevi (Threskiornithidae),kasicar_1; kasicar_2,,Capljolike ptice,vodena stanista,bela; zuta,,Ne tako česta vrsta bara i ribnjaka u Vojvodini. Belog vitkog tela i dugačkog kljuna nalik na kašiku po kom se lako raspoznaje od drugih vrsta čaplji. U letu je vrat ispružen kao kod roda. Zimu provodi u Mediteranu.,215,80-90,120-135,1300-2000,vodeni beskičmenjaci i sitna riba,Gnezdarica (manje od hiljadu parova).,"Redovna na seobi, a beleži se i na zimovanju.",NE
